LOC,LAT,LON,ALT_M
K,38.8927550,-77.0514350,8.765
Hk,38.8951366,-77.0514440,29.496
KE,38.8927510,-77.0214211,3.522
KW,38.8927590,-77.0814489,56.718
KNo,38.9072520,-77.05143,18.590
KSo,38.8692963,-77.05143,6.135
KJa,38.8869713,-77.0223434,8.441
KJb,38.8985350,-77.08052,52.455
JN,38.8987605,-77.0365691,16.606
JS,38.8794052,-77.0365691,2.172
J,38.8898010,-77.0365691,6.824
WH,38.8976070,-77.0365710,17.906
NOa,38.9215446,-77.0670513,85.285
Cap,38.8898010,-77.0091471,26.609
W,38.89324513,-77.17230114,104.031
N,38.99595651,-77.04098558,79.437
E,38.89286045,-76.90916553,28.267
S,38.7903391,-77.04058603,0.943
SN3,38.8338300,-77.040586,0.001
SN5,38.8628240,-77.040586,0.001
elSc,38.8928482,-77.0405860,6.397
M,38.8894840,-77.0352780,12.247
P,38.8710032,-77.0559685,10.779
CapK,38.8898010,-77.051435,8.689
CapNE5,38.9410364,-76.9435185,2.316
CapSW5,38.8385650,-77.0747287,45.342
Cap275,38.8905813,-77.0205677,2.735
Cap290,38.8947579,-77.0265789,3.711
Cap320,38.9077680,-77.0284442,28.649
CapSc1r2,38.9021460,-77.1393777,112.248
CapSc2ten,38.9072480,-77.1933242,100.035
