LOC,LAT,LON,ALT_M
H27,38.8333454,-77.1762018,118.219
H40,38.9012824,-77.1585491,137.73
H43,38.874516,-77.1463928,126.101
H57,38.9350973,-77.1265214,80.156
H29,38.9122686,-77.1247487,103.727
H44,38.903018,-77.1123682,106.852
H66,38.9053312,-77.1009495,80.254
H36,38.8983414,-77.0998654,80.257
H31,38.9320376,-77.0936774,118.362
H78,38.8197038,-77.0924952,83.55
H30,38.935888,-77.0905005,118.582
H67,38.9155194,-77.0892364,77.529
H23,38.9392373,-77.0883407,121.746
H35,38.9206608,-77.079751,91.637
H16,38.8571468,-77.0787817,66.408
H20,38.9230874,-77.0776329,93.649
H52,38.923524,-77.0739803,103.95
H17,38.881233,-77.0726294,63.17
H69,38.8763375,-77.0723418,53.846
H21,38.9301571,-77.0722917,117.65
H24,38.9173825,-77.0704106,85.854
H70,38.8737311,-77.0703874,56.165
H55,38.967911,-77.0683454,116.588
H26,38.8090955,-77.067593,44.855
H25,38.9214296,-77.0670052,85.259
H34,38.9134097,-77.0655855,64.494
H56,38.9168154,-77.0612014,60.219
H22,38.9282345,-77.0600423,88.066
H18,38.8473116,-77.0598019,50.124
H48,38.9599653,-77.0518143,105.19
H49,38.9537105,-77.0517938,98.743
H50,38.9632724,-77.050955,104.21
H68,38.8941231,-77.0507192,28.413
H51,38.9144899,-77.0495319,49.264
UP13,38.9162942,-77.0474591,52.985
H84,38.989693,-77.0466485,85.572
UP09,38.920045,-77.0448859,55.017
UP12,38.9096331,-77.0434478,27.629
H77,38.8970388,-77.0376279,16.491
UP11,38.9072237,-77.0365437,22.791
UP07,38.9226622,-77.0347223,62.419
H46,38.9777676,-77.0346909,109.439
H64,38.923717,-77.0201811,55.346
H42,38.8255471,-77.014661,54.608
H13,38.9462628,-77.0139122,99.718
H87,38.8188563,-77.0102358,50.641
H47,38.9384156,-77.0101866,96.187
H71,38.8897967,-77.0079331,26.736
H65,38.9188351,-77.007394,54.428
H72,38.8906224,-77.0050964,31.596
H88,38.8495,-77.0049218,49.792
H14,38.948106,-77.0048862,99.308
H11,38.9146496,-77.0046483,47.42
H85,38.8549693,-77.0023087,49.179
H86,38.8104621,-76.9966482,61.285
H06,38.9115829,-76.99355,53.995
H63,38.9351506,-76.9884285,72.927
H07,38.9085688,-76.9754046,72.55
H10,38.8523596,-76.9706023,88.687
H08,38.9260974,-76.9585333,65.049
H03,38.9126194,-76.9575397,48.882
H04,38.8848207,-76.9480236,58.729
H02,38.8953026,-76.9444521,50.481
H79,38.8210979,-76.9434697,120.218
H01,38.8886978,-76.9426083,56.873
H05,38.8728041,-76.9401974,93.186
H81,38.8868703,-76.9299763,61.651
H61,38.9294505,-76.9244105,71.195
H82,38.8917192,-76.899134,59.88
