Label,X,Y,Tol
H27,13.428,0.000,0.002907
H40,51.046,6.371,0.0536
H43,36.224,10.759,0.076235
H57,69.769,17.931,0.007356
H29,57.129,18.571,0.0068
H44,52.007,23.039,0.009666
H66,53.287,27.160,0.001434
H36,49.417,27.552,0.001181
H31,68.075,29.785,0.001962
H78,5.874,30.212,0.004714
H30,70.207,30.932,0.001925
H67,58.929,31.388,0.002985
H23,72.062,31.711,0.018955
H35,61.776,34.811,0.01787
H16,26.607,35.161,0.00437
H20,63.119,35.576,0.006471
H52,63.361,36.894,0.009007
H17,39.944,37.382,0.093907
H69,37.233,37.485,0.000074
H21,67.034,37.503,0.000696
H24,59.960,38.182,0.056382
H70,35.790,38.191,0.001289
H55,87.939,38.928,0.022034
H26,0.000,39.199,0.000652
H25,62.201,39.412,0.01092
H34,57.761,39.924,0.001521
H56,59.646,41.506,0.007877
H22,65.969,41.925,0.001024
H18,21.161,42.011,0.001001
H48,83.539,44.894,0.067146
H49,80.076,44.902,0.000449
H50,85.370,45.204,0.010445
H68,47.081,45.289,0.00634
H51,58.359,45.718,0.000282
UP13,59.358,46.466,0.000444
H84,100.000,46.759,0.001084
UP09,61.435,47.395,0.000783
UP12,55.669,47.914,0.001723
H77,48.696,50.014,0.001909
UP11,54.335,50.406,0.000652
UP07,62.884,51.063,0.053274
H46,93.397,51.074,0.006413
H64,63.468,56.311,0.009686
H42,9.110,58.304,0.00256
H13,75.952,58.574,0.001923
H87,5.405,59.901,0.087247
H47,71.607,59.919,0.005439
H71,44.686,60.732,0.075803
H65,60.765,60.927,0.001809
H72,45.143,61.756,0.005028
H88,22.373,61.819,0.043244
H14,76.973,61.832,0.000223
H11,58.447,61.918,0.00858
H85,25.401,62.762,0.004094
H86,0.757,64.805,0.001374
H06,56.749,65.923,0.00184
H63,69.799,67.772,0.000864
H07,55.080,72.472,0.045682
H10,23.956,74.205,0.045432
H08,64.786,78.561,0.036299
H03,57.323,78.920,0.078629
H04,41.930,82.355,0.000126
H02,47.734,83.644,0.07916
H79,6.646,83.998,0.000516
H01,44.077,84.309,0.073264
H05,35.277,85.179,0.009843
H81,43.065,88.868,0.007326
H61,66.643,90.877,0.003683
H82,45.750,100.000,0.002231
