Label,X,Y,Tol
K,49.81,49.93,0.0749
Hk,50.97,49.93,0.0345
KE,49.81,60.50,0.0396
KW,49.81,39.37,0.073
KNo,56.86,49.93,0.0381
KSo,38.40,49.93,0.0999
KJa,47.00,60.17,0.0294
KJb,52.62,39.70,0.0858
JN,52.73,55.16,0.018
JS,43.32,55.16,0.0194
J,48.37,55.16,0.013
WH,52.17,55.16,0.0892
NOa,63.81,44.44,0.0738
Cap,48.37,64.81,0.0376
W,50.05,7.40,0.0591
N,100.00,53.61,0.0864
E,49.86,100.00,0.0554
S,0.00,53.75,0.0504
SN3,21.15,53.75,0.0629
SN5,35.25,53.75,0.0346
elSc,49.85,53.75,0.0256
M,48.22,55.62,0.0358
P,39.23,48.34,0.0404
CapK,48.37,49.93,0.0809
CapNE5,73.29,87.91,0.0934
CapSW5,23.45,41.74,0.0126
Cap275,48.75,60.80,0.0906
Cap290,50.78,58.68,0.0637
Cap320,57.11,58.02,0.023
CapSc1r2,54.38,18.98,0.0247
CapSc2ten,56.86,0.00,0.0813
